timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591872097878,7356,All Pages,200,OK,Home 1-1,text,true,,14254,238,1,1,https://www.naukri.com/,413,0,300
1591872097878,791,All Pages-0,301,Moved Permanently,Home 1-1,text,true,,492,119,1,1,http://www.naukri.com/,413,0,300
1591872098813,6421,All Pages-1,200,OK,Home 1-1,text,true,,13762,119,1,1,https://www.naukri.com/,6420,0,5925
1591872105240,544,recruiter,200,OK,Home 1-1,text,true,,69248,288,1,1,https://www.naukri.com/hr-recruiters-consultants,102,0,0
1591872105240,102,recruiter-0,301,Moved Permanently,Home 1-1,text,true,,517,144,1,1,http://www.naukri.com/hr-recruiters-consultants,102,0,0
1591872105343,441,recruiter-1,200,OK,Home 1-1,text,true,,68731,144,1,1,https://www.naukri.com/hr-recruiters-consultants,330,0,0
1591872105801,1024,company,200,OK,Home 1-1,text,true,,210068,270,1,1,https://www.naukri.com/top-company-jobs,69,0,0
1591872105801,69,company-0,301,Moved Permanently,Home 1-1,text,true,,508,135,1,1,http://www.naukri.com/top-company-jobs,69,0,0
1591872105871,954,company-1,200,OK,Home 1-1,text,true,,209560,135,1,1,https://www.naukri.com/top-company-jobs,518,0,0
