timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591772775394,1663,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-13,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,976,0,0
1591772777058,1331,/cgi-bin/nav.pl-12,200,OK,Thread Group 1-13,text,true,,1887,587,50,50,http://localhost:1080/cgi-bin/nav.pl?in=home,912,0,0
1591772778555,1106,/cgi-bin/login.pl-13,200,OK,Thread Group 1-13,text,true,,1035,725,50,50,http://localhost:1080/cgi-bin/login.pl,949,0,0
1591772779661,2577,/cgi-bin/login.pl-14,200,OK,Thread Group 1-13,text,true,,1154,241,48,48,http://localhost:1080/cgi-bin/login.pl?intro=true,1695,0,0
1591772782238,1613,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-13,text,true,,1749,511,36,36,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,963,0,0
1591772781259,2595,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-50,,true,,2825,996,36,36,null,0,0,0
1591772781259,2595,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-50,text,true,,2825,996,36,36,http://localhost:1080/cgi-bin/reservations.pl,1938,0,0
1591772776067,7839,Login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-31,,true,,6917,2576,35,35,null,0,1,0
1591772776067,1089,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-31,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,699,0,0
1591772777156,1665,/cgi-bin/nav.pl-12,200,OK,Thread Group 1-31,text,true,,1887,587,50,50,http://localhost:1080/cgi-bin/nav.pl?in=home,1206,0,0
1591772778822,1320,/cgi-bin/login.pl-13,200,OK,Thread Group 1-31,text,true,,1035,725,50,50,http://localhost:1080/cgi-bin/login.pl,768,0,0
1591772780142,2157,/cgi-bin/login.pl-14,200,OK,Thread Group 1-31,text,true,,1154,241,48,48,http://localhost:1080/cgi-bin/login.pl?intro=true,1249,0,0
1591772782299,1608,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-31,text,true,,1749,511,35,35,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,883,0,0
1591772782475,1433,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-20,,true,,2825,951,35,35,null,0,0,0
1591772782475,1433,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-20,text,true,,2825,951,35,35,http://localhost:1080/cgi-bin/reservations.pl,955,0,0
1591772782860,1055,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2825,951,35,35,null,0,0,0
1591772782860,1055,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-3,text,true,,2825,951,35,35,http://localhost:1080/cgi-bin/reservations.pl,596,0,0
1591772775398,8616,Login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-5,,true,,6917,2576,35,35,null,0,0,0
1591772775398,1819,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-5,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,1389,0,0
1591772777217,1615,/cgi-bin/nav.pl-12,200,OK,Thread Group 1-5,text,true,,1887,587,50,50,http://localhost:1080/cgi-bin/nav.pl?in=home,1030,0,0
1591772778832,1953,/cgi-bin/login.pl-13,200,OK,Thread Group 1-5,text,true,,1035,725,49,49,http://localhost:1080/cgi-bin/login.pl,1557,0,0
1591772780785,1682,/cgi-bin/login.pl-14,200,OK,Thread Group 1-5,text,true,,1154,241,47,47,http://localhost:1080/cgi-bin/login.pl?intro=true,1412,0,0
1591772782467,1547,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-5,text,true,,1749,511,35,35,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,1270,0,0
1591772776155,7887,Login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-41,,true,,6917,2576,35,35,null,0,0,0
1591772776155,1164,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-41,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,919,0,0
