timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591775755722,1491,/cgi-bin/login.pl-14,200,OK,Thread Group 1-33,text,true,,1154,241,50,50,http://localhost:1080/cgi-bin/login.pl?intro=true,1022,0,0
1591775757213,1519,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-33,text,true,,1749,511,50,50,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,749,0,0
1591775750089,8645,Login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-42,,true,,6915,2576,50,50,null,0,1,0
1591775750089,2194,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-42,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,1470,0,0
1591775752282,1936,/cgi-bin/nav.pl-12,200,OK,Thread Group 1-42,text,true,,1885,587,50,50,http://localhost:1080/cgi-bin/nav.pl?in=home,1599,0,0
1591775754218,1488,/cgi-bin/login.pl-13,200,OK,Thread Group 1-42,text,true,,1035,725,50,50,http://localhost:1080/cgi-bin/login.pl,1037,0,0
1591775755707,1393,/cgi-bin/login.pl-14,200,OK,Thread Group 1-42,text,true,,1154,241,50,50,http://localhost:1080/cgi-bin/login.pl?intro=true,756,0,0
1591775757100,1634,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-42,text,true,,1749,511,50,50,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,858,0,0
1591775757211,1557,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-23,,true,,2825,951,50,50,null,0,1,0
1591775757211,1557,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-23,text,true,,2825,951,50,50,http://localhost:1080/cgi-bin/reservations.pl,870,0,0
1591775750935,7835,Login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-27,,true,,6917,2576,50,50,null,0,1,0
1591775750935,1430,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-27,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,1162,0,0
1591775752365,1820,/cgi-bin/nav.pl-12,200,OK,Thread Group 1-27,text,true,,1887,587,50,50,http://localhost:1080/cgi-bin/nav.pl?in=home,1482,0,0
1591775754185,1517,/cgi-bin/login.pl-13,200,OK,Thread Group 1-27,text,true,,1035,725,50,50,http://localhost:1080/cgi-bin/login.pl,1065,0,0
1591775755702,1348,/cgi-bin/login.pl-14,200,OK,Thread Group 1-27,text,true,,1154,241,50,50,http://localhost:1080/cgi-bin/login.pl?intro=true,768,0,0
1591775757050,1720,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-27,text,true,,1749,511,50,50,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,928,0,0
1591775757300,1615,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-19,,true,,2825,951,50,50,null,0,0,0
1591775757300,1615,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-19,text,true,,2825,951,50,50,http://localhost:1080/cgi-bin/reservations.pl,1272,0,0
1591775757869,1050,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-26,,true,,2825,951,50,50,null,0,0,0
1591775757869,1050,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-26,text,true,,2825,951,50,50,http://localhost:1080/cgi-bin/reservations.pl,745,0,0
1591775757319,1603,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-22,,true,,2825,951,50,50,null,0,1,0
1591775757319,1603,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-22,text,true,,2825,951,50,50,http://localhost:1080/cgi-bin/reservations.pl,1122,0,0
1591775750749,8174,Login,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-46,,true,,6915,2576,50,50,null,0,3,0
1591775750749,1489,/cgi-bin/welcome.pl-11,200,OK,Thread Group 1-46,text,true,,1092,512,50,50,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,948,0,0
1591775752238,1975,/cgi-bin/nav.pl-12,200,OK,Thread Group 1-46,text,true,,1885,587,50,50,http://localhost:1080/cgi-bin/nav.pl?in=home,1655,0,0
1591775754214,1548,/cgi-bin/login.pl-13,200,OK,Thread Group 1-46,text,true,,1035,725,50,50,http://localhost:1080/cgi-bin/login.pl,1009,0,0
1591775755762,1439,/cgi-bin/login.pl-14,200,OK,Thread Group 1-46,text,true,,1154,241,50,50,http://localhost:1080/cgi-bin/login.pl?intro=true,1230,0,0
1591775757202,1723,/cgi-bin/nav.pl-15,200,OK,Thread Group 1-46,text,true,,1749,511,50,50,http://localhost:1080/cgi-bin/nav.pl?page=menu&in=home,1228,0,0
1591775757318,1619,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-44,,true,,2825,951,50,50,null,0,1,0
1591775757318,1619,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-44,text,true,,2825,951,50,50,http://localhost:1080/cgi-bin/reservations.pl,1272,0,0
1591775757302,1639,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2825,951,50,50,null,0,0,0
1591775757302,1639,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-5,text,true,,2825,951,50,50,http://localhost:1080/cgi-bin/reservations.pl,1227,0,0
1591775757293,1648,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-21,,true,,2825,951,50,50,null,0,1,0
1591775757293,1648,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-21,text,true,,2825,951,50,50,http://localhost:1080/cgi-bin/reservations.pl,1327,0,0
1591775757205,1742,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,true,,2825,951,50,50,null,0,0,0
1591775757205,1742,/cgi-bin/reservations.pl-22,200,OK,Thread Group 1-18,text,true,,2825,951,50,50,http://localhost:1080/cgi-bin/reservations.pl,1360,0,0
1591775757056,1892,Reservation,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-34,,true,,2825,996,50,50,null,0,0,0
